global_category,context1,context2
competitor_c1,0.7263510314866,0.21816823266102978
competitor_c2,0.2480146888671315,0.7308695850407769
mostSimilar,0.3802814469481136,0.5432770316455829
otherCategory,0.13387367262367264,0.12841301907968575
