answerType,answerType_count,answerType_proportion
competitor,272,0.45791245791245794
sameCategory,94,0.15824915824915825
otherCategory,2,0.003367003367003367
fullList,52,0.08754208754208755
taciturn,106,0.17845117845117844
other,68,0.11447811447811448
