itemName,answerType,mean,mean_zscored
clothing-beach,competitor,52.5625,0.2899694901052645
clothing-beach,sameCategory1,66.125,0.7623672329944715
clothing-beach,sameCategory2,41.625,-0.09099643157957989
clothing-beach,otherCategory1,32.1875,-0.41971559829050276
clothing-beach,otherCategory2,28.6875,-0.5416246932296529
electronics-laptop,competitor,68,1.3071762052841505
electronics-laptop,sameCategory1,32.833333333333336,-0.006224648596591216
electronics-laptop,sameCategory2,21.916666666666668,-0.41393913167331436
electronics-laptop,otherCategory1,24.583333333333332,-0.3143447541278553
electronics-laptop,otherCategory2,17.666666666666668,-0.5726676708863898
kidsActivities-crafts,competitor,65.875,0.5564044885288235
kidsActivities-crafts,sameCategory1,60.0625,0.3589021319136304
kidsActivities-crafts,sameCategory2,63.3125,0.4693335571178244
kidsActivities-crafts,otherCategory1,31.0625,-0.6264859699084081
kidsActivities-crafts,otherCategory2,27.1875,-0.7581542076518701
touristInfo-childTheatre,competitor,71.73333333333333,1.279483536033688
touristInfo-childTheatre,sameCategory1,31.666666666666668,-0.12682517859002543
touristInfo-childTheatre,sameCategory2,26.466666666666665,-0.30934111825832766
touristInfo-childTheatre,otherCategory1,22.466666666666665,-0.4497379949262525
touristInfo-childTheatre,otherCategory2,24.066666666666666,-0.39357924425908253
waterSport-motor,competitor,74.46666666666667,0.5521856724121178
waterSport-motor,sameCategory1,47.06666666666667,-0.42688383302955796
waterSport-motor,sameCategory2,73.06666666666666,0.5021602232289665
waterSport-motor,otherCategory1,47.8,-0.400680026314574
waterSport-motor,otherCategory2,52.666666666666664,-0.22678203629695273
plants-green,competitor,59.27777777777778,0.4898075289200771
plants-green,sameCategory1,45.94444444444444,-0.23226745228888188
plants-green,sameCategory2,50.5,0.014441499624179118
plants-green,otherCategory1,41.611111111111114,-0.46694182118179356
plants-green,otherCategory2,53.833333333333336,0.19496024492641886
cafe-pie,competitor,72.6,1.2498678433021353
cafe-pie,sameCategory1,35.9,-0.03573052691054317
cafe-pie,sameCategory2,30.3,-0.23189812563509354
cafe-pie,otherCategory1,22.9,-0.4911195953782494
cafe-pie,otherCategory2,22.9,-0.4911195953782494
zoo-xl,competitor,85.53846153846153,0.960535570782759
zoo-xl,sameCategory1,67.15384615384616,0.19835761123070259
zoo-xl,sameCategory2,62.61538461538461,0.010204893182287005
zoo-xl,otherCategory1,51.46153846153846,-0.4522043291400903
zoo-xl,otherCategory2,45.07692307692308,-0.716893746055658
dutyFree-smokes,competitor,68.76923076923077,0.7440680045407904
dutyFree-smokes,sameCategory1,45.30769230769231,-0.06527843406456303
dutyFree-smokes,sameCategory2,58.23076923076923,0.38052550588854966
dutyFree-smokes,otherCategory1,33.76923076923077,-0.46331766616555653
dutyFree-smokes,otherCategory2,29.923076923076923,-0.595997410199221
bar-whiteWine,competitor,69.4375,1.1774309364605091
bar-whiteWine,sameCategory1,33.1875,-0.21569420255845298
bar-whiteWine,sameCategory2,35.4375,-0.12922436634348294
bar-whiteWine,otherCategory1,26.5625,-0.47029983141364257
bar-whiteWine,otherCategory2,29.375,-0.36221253614493004
books-romance,competitor,75,0.8923568390373751
books-romance,sameCategory1,67,0.6440095846563219
books-romance,sameCategory2,43.36363636363637,-0.08974366692406252
books-romance,otherCategory1,22,-0.7529437212371022
books-romance,otherCategory2,23.90909090909091,-0.6936790355325327
petAdoption-dogs,competitor,36.72727272727273,0.10201522899216446
petAdoption-dogs,sameCategory1,53.72727272727273,0.6348880731691136
petAdoption-dogs,sameCategory2,47,0.4240186054199465
petAdoption-dogs,otherCategory1,12.454545454545455,-0.6588246073460462
petAdoption-dogs,otherCategory2,17.454545454545453,-0.5020973002351788
bookingAgency-lowClassAccommodation,competitor,52.55555555555556,0.31424072189259694
bookingAgency-lowClassAccommodation,sameCategory1,70.72222222222223,0.8332140353212798
bookingAgency-lowClassAccommodation,sameCategory2,66.05555555555556,0.6998997896698751
