model_name,competitor,fullList,otherCategory,sameCategory,taciturn,aboslute_diff
bigscience/T0_3B,0.28430915889868497,-0.17859634358954019,-0.15740370199670592,-0.0382993023605013,-0.0244879254300521,0.13661928645509688
danyaljj/gpt2_question_answering_squad2,0.2309179833814004,-0.0846465538487192,-0.2091442476021811,-0.028448771203059248,-0.023156525205555334,0.11526281624818306
gpt2,0.2455471402401392,-0.07780750061357915,-0.1982554585687761,-0.058910961194335226,-0.02505133434156326,0.12111447899167858
MaRiOrOsSi/t5-base-finetuned-question-answering,0.3082624750979067,-0.2999106825695144,-0.17990397998778654,-0.011621737385655695,0.06869581036693537,0.17367893708155974
valhalla/t5-base-qa-qg-hl,0.31600403304593516,-0.2782966319695411,-0.14386905903872013,-0.003790495399222382,-0.004525961116566085,0.14929723611399698
yjernite/bart_eli5,0.2931335631913481,-0.2502401338917941,-0.11525002543906805,-0.029040171785931768,-0.01308134655266871,0.14014904817216214
