goal,aspect_1,aspect_2,question_1,question_2,edit_1,edit_2
 Eat healthy,Simple recipes,Complex recipes,Your health-conscious friend asks you: How can I find simple and quick healthy recipes?,Your adventurous friend asks you: How can I find more involved and complex healthy recipes?,Your health-conscious friend who has never cooked for herself before asks you: How can I find healthy recipes?,Your adventurous friend who loves cooking and is an experienced chef asks you: How can I find healthy recipes?
 Learn a new language,Cheap introductory course,High quality course,A person at the party who is interested in saving money asks you: What is the best way to learn a new language?,A person at the party who is interested in getting a professional education asks you: What is the best way to learn a new language?,A person at the party who is interested in saving money and trying out French asks you: What is the best way to learn a new language?,A person at the party who is interested in learning business French asks you: What is the best way to learn a new language?
